sample,n,m,OPTIMAL,LocalSearch_objective,LocalSearch_time_ms
Adversarial_10000_600_6,10000,600,106,108,32528
Adversarial_1000_80_5,1000,80,65,66,229
Adversarial_100_10_3,100,10,30,30,1
Adversarial_20000_1000_6,20000,1000,128,128,137291
Adversarial_2000_150_5,2000,150,69,70,876
Adversarial_200_15_3,200,15,40,40,3
Adversarial_5000_300_6,5000,300,106,107,7099
Adversarial_500_30_4,500,30,67,68,34
Adversarial_50_10_2,50,10,10,10,1
Adversarial_800_50_5,800,50,82,83,145
Exponential_10000_4000_6,10000,4000,15,16,56341
Exponential_1000_700_5,1000,700,8,8,600
Exponential_100_50_3,100,50,6,7,3
Exponential_20000_9000_6,20000,9000,14,14,248254
Exponential_2000_900_5,2000,900,12,12,1779
Exponential_200_100_3,200,100,6,7,14
Exponential_5000_2000_6,5000,2000,15,16,12860
Exponential_500_350_4,500,350,6,6,86
Exponential_50_20_2,50,20,5,6,0
Exponential_800_500_5,800,500,8,9,416
Gaussian_10000_4000_6,10000,4000,16,16,51071
Gaussian_1000_700_5,1000,700,8,8,480
Gaussian_100_50_3,100,50,6,7,2
Gaussian_20000_9000_6,20000,9000,14,14,251760
Gaussian_2000_900_5,2000,900,12,12,1730
Gaussian_200_100_3,200,100,6,7,12
Gaussian_5000_2000_6,5000,2000,16,16,13190
Gaussian_500_350_4,500,350,6,6,135
Gaussian_50_20_2,50,20,5,6,0
Gaussian_800_500_5,800,500,9,9,341
Poisson_10000_4000_6,10000,4000,16,16,50399
Poisson_1000_700_5,1000,700,8,8,497
Poisson_100_50_3,100,50,6,7,2
Poisson_20000_9000_6,20000,9000,14,14,233912
Poisson_2000_900_5,2000,900,12,12,1645
Poisson_200_100_3,200,100,6,7,9
Poisson_5000_2000_6,5000,2000,16,16,12822
Poisson_500_350_4,500,350,6,6,88
Poisson_50_20_2,50,20,5,5,0
Poisson_800_500_5,800,500,8,9,358
Uniform_10000_4000_6,10000,4000,15,16,59998
Uniform_1000_700_5,1000,700,8,8,599
Uniform_100_50_3,100,50,6,6,2
Uniform_20000_9000_6,20000,9000,14,14,274675
Uniform_2000_900_5,2000,900,12,12,1870
Uniform_200_100_3,200,100,6,6,10
Uniform_5000_2000_6,5000,2000,15,16,14254
Uniform_500_350_4,500,350,6,6,111
Uniform_50_20_2,50,20,5,6,0
Uniform_800_500_5,800,500,8,9,357
hustack1,5,3,4,4,0
hustack2,200,30,20,21,5
hustack3,300,30,30,30,8
hustack4,700,70,30,30,43
hustack5,900,90,30,30,89
